table_id,dept,prov,dist,eligible_voters,total_voters
033746,LIMA,LIMA,LIMA,300,222
033747,LIMA,LIMA,LIMA,300,203
033748,LIMA,LIMA,LIMA,300,218
033749,LIMA,LIMA,LIMA,300,207
033750,LIMA,LIMA,LIMA,300,203
033751,LIMA,LIMA,LIMA,300,213
033752,LIMA,LIMA,LIMA,300,216
033753,LIMA,LIMA,LIMA,300,213
033754,LIMA,LIMA,LIMA,300,224
033755,LIMA,LIMA,LIMA,300,223
033756,LIMA,LIMA,LIMA,300,221
033757,LIMA,LIMA,LIMA,300,229
033758,LIMA,LIMA,LIMA,300,232
033759,LIMA,LIMA,LIMA,300,221
033760,LIMA,LIMA,LIMA,300,213
033761,LIMA,LIMA,LIMA,300,218
033762,LIMA,LIMA,LIMA,300,236
033763,LIMA,LIMA,LIMA,300,225
033764,LIMA,LIMA,LIMA,300,195
033765,LIMA,LIMA,LIMA,300,189
033766,LIMA,LIMA,LIMA,300,197
033767,LIMA,LIMA,LIMA,300,203
033768,LIMA,LIMA,LIMA,300,204
033769,LIMA,LIMA,LIMA,300,194
033770,LIMA,LIMA,LIMA,300,210
033771,LIMA,LIMA,LIMA,300,206
033772,LIMA,LIMA,LIMA,300,207
033773,LIMA,LIMA,LIMA,300,215
033774,LIMA,LIMA,LIMA,300,211
033775,LIMA,LIMA,LIMA,300,214
033776,LIMA,LIMA,LIMA,300,219
033777,LIMA,LIMA,LIMA,300,221
033778,LIMA,LIMA,LIMA,300,211
033779,LIMA,LIMA,LIMA,300,209
033780,LIMA,LIMA,LIMA,300,245
033781,LIMA,LIMA,LIMA,300,231
033782,LIMA,LIMA,LIMA,300,227
033783,LIMA,LIMA,LIMA,300,235
033784,LIMA,LIMA,LIMA,300,218
033785,LIMA,LIMA,LIMA,300,235
033786,LIMA,LIMA,LIMA,300,243
033787,LIMA,LIMA,LIMA,300,216
033788,LIMA,LIMA,LIMA,300,229
033789,LIMA,LIMA,LIMA,300,231
033790,LIMA,LIMA,LIMA,300,228
033791,LIMA,LIMA,LIMA,300,236
033792,LIMA,LIMA,LIMA,300,220
033793,LIMA,LIMA,LIMA,300,238
033794,LIMA,LIMA,LIMA,300,226
033795,LIMA,LIMA,LIMA,300,230
033796,LIMA,LIMA,LIMA,300,236
033797,LIMA,LIMA,LIMA,300,241
033798,LIMA,LIMA,LIMA,300,227
033799,LIMA,LIMA,LIMA,300,213
033800,LIMA,LIMA,LIMA,300,230
033801,LIMA,LIMA,LIMA,300,208
033802,LIMA,LIMA,LIMA,300,229
033803,LIMA,LIMA,LIMA,300,233
033804,LIMA,LIMA,LIMA,300,226
033805,LIMA,LIMA,LIMA,300,215
033806,LIMA,LIMA,LIMA,300,245
033807,LIMA,LIMA,LIMA,300,250
033808,LIMA,LIMA,LIMA,300,244
033809,LIMA,LIMA,LIMA,300,246
033810,LIMA,LIMA,LIMA,300,246
033811,LIMA,LIMA,LIMA,300,252
033812,LIMA,LIMA,LIMA,300,239
033813,LIMA,LIMA,LIMA,300,251
033814,LIMA,LIMA,LIMA,300,261
033815,LIMA,LIMA,LIMA,300,249
033816,LIMA,LIMA,LIMA,300,245
033817,LIMA,LIMA,LIMA,300,260
033818,LIMA,LIMA,LIMA,300,239
033819,LIMA,LIMA,LIMA,300,230
033820,LIMA,LIMA,LIMA,300,250
033821,LIMA,LIMA,LIMA,300,256
033822,LIMA,LIMA,LIMA,300,259
033823,LIMA,LIMA,LIMA,300,250
033824,LIMA,LIMA,LIMA,300,248
033825,LIMA,LIMA,LIMA,300,249
033826,LIMA,LIMA,LIMA,300,243
033827,LIMA,LIMA,LIMA,300,240
033828,LIMA,LIMA,LIMA,300,250
033829,LIMA,LIMA,LIMA,300,226
033830,LIMA,LIMA,LIMA,300,225
033831,LIMA,LIMA,LIMA,300,218
033832,LIMA,LIMA,LIMA,300,233
