table_id,department,province,district,installation_time,eligible_voters,total_voted,rp,jpp
036325,LIMA,LIMA,LIMA,07:50 a. m.,300,230,44,2
036324,LIMA,LIMA,LIMA,07:34 a. m.,230,166,39,2
036331,LIMA,LIMA,LIMA,07:35 a. m.,300,214,29,4
036328,LIMA,LIMA,LIMA,07:00 a. m.,300,215,49,0
036329,LIMA,LIMA,LIMA,07:46 a. m.,300,221,34,5
036332,LIMA,LIMA,LIMA,08:21 a. m.,300,234,46,3
036330,LIMA,LIMA,LIMA,07:32 a. m.,300,233,28,4
036334,LIMA,LIMA,LIMA,07:10 a. m.,300,230,46,2
036333,LIMA,LIMA,LIMA,07:10 a. m.,300,247,43,2
036336,LIMA,LIMA,LIMA,07:03 a. m.,230,167,24,2
036339,LIMA,LIMA,LIMA,07:32 a. m.,300,242,46,6
036335,LIMA,LIMA,LIMA,07:30 a. m.,300,226,30,2
036338,LIMA,LIMA,LIMA,07:30 a. m.,300,223,36,2
036337,LIMA,LIMA,LIMA,07:05 a. m.,300,235,43,2
036341,LIMA,LIMA,LIMA,07:55 a. m.,300,229,40,0
036342,LIMA,LIMA,LIMA,07:33 a. m.,300,235,31,5
036346,LIMA,LIMA,LIMA,07:09 a. m.,300,231,51,2
036345,LIMA,LIMA,LIMA,08:01 a. m.,300,230,46,3
036340,LIMA,LIMA,LIMA,07:10 a. m.,300,241,50,1
036344,LIMA,LIMA,LIMA,07:01 a. m.,300,243,21,4
036343,LIMA,LIMA,LIMA,07:47 a. m.,300,225,40,2
036350,LIMA,LIMA,LIMA,07:35 a. m.,300,238,37,3
036347,LIMA,LIMA,LIMA,07:30 a. m.,300,221,38,1
036351,LIMA,LIMA,LIMA,07:53 a. m.,300,238,35,5
036349,LIMA,LIMA,LIMA,08:27 a. m.,300,236,58,3
036348,LIMA,LIMA,LIMA,08:00 a. m.,230,169,20,5
036355,LIMA,LIMA,LIMA,09:47 a. m.,300,209,20,4
036352,LIMA,LIMA,LIMA,07:30 a. m.,300,228,47,3
036354,LIMA,LIMA,LIMA,09:23 a. m.,300,237,39,8
036356,LIMA,LIMA,LIMA,07:55 a. m.,300,222,28,2
036353,LIMA,LIMA,LIMA,07:39 a. m.,300,218,30,10
036359,LIMA,LIMA,LIMA,07:40 a. m.,300,218,38,6
036358,LIMA,LIMA,LIMA,07:55 a. m.,300,238,35,2
036357,LIMA,LIMA,LIMA,10:01 a. m.,300,241,50,4
036360,LIMA,LIMA,LIMA,08:13 a. m.,300,222,35,4
036361,LIMA,LIMA,LIMA,07:50 a. m.,300,228,37,6
036365,LIMA,LIMA,LIMA,07:00 a. m.,300,233,40,5
036362,LIMA,LIMA,LIMA,08:28 a. m.,230,154,22,6
036363,LIMA,LIMA,LIMA,07:46 a. m.,230,157,23,3
036366,LIMA,LIMA,LIMA,08:40 a. m.,300,239,39,7
036364,LIMA,LIMA,LIMA,07:00 a. m.,230,170,24,6
036368,LIMA,LIMA,LIMA,07:21 a. m.,300,237,33,5
036371,LIMA,LIMA,LIMA,07:04 a. m.,300,225,40,5
036370,LIMA,LIMA,LIMA,07:20 a. m.,300,222,47,5
036372,LIMA,LIMA,LIMA,08:02 a. m.,300,242,36,8
036373,LIMA,LIMA,LIMA,07:40 a. m.,300,228,23,4
